id;species;category;light;difficulty;humidity;temperature;toxicity;cycle;waterSummer;waterWinter;fertilizeFreq;repotFreq;sowingMonths;plantingMonths;harvestMonths;repottingMonths;pruningMonths;winteringMonths;soilInfo;pruningInfo
1;Sansevieria;indoor;partial;easy;low;frostTender;low;perennial;21;45;60;36;;;;3,4,5;;11,12,1,2;Terreau pour cactus ou très drainant.;Couper les feuilles abîmées à la base.
2;Monstera Deliciosa;indoor;brightInd;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4,5;;11,12,1,2;Terreau plante verte riche et drainant.;Nettoyer les feuilles à l'éponge humide.
3;Pilea Peperomioides;indoor;brightInd;medium;medium;frostTender;none;perennial;7;10;30;12;;;;3,4;;11,12,1,2;Terreau léger mélangé à du sable.;Bouturer les rejets qui poussent au pied.
4;Pothos;indoor;partial;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4,5;;11,12,1,2;Terreau universel standard.;Pincer les tiges pour étoffer la plante.
5;Zamioculcas;indoor;partial;easy;low;frostTender;low;perennial;15;30;60;36;;;;3,4;;11,12,1,2;Mélange terreau et sable.;Aucune, retirer les tiges jaunies.
6;Ficus Elastica;indoor;brightInd;easy;medium;frostTender;low;perennial;10;20;30;24;;;;3,4;;11,12,1,2;Terreau riche.;Nettoyer les larges feuilles régulièrement.
7;Ficus Lyrata;indoor;brightInd;medium;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau drainant.;Éviter les courants d'air et les déplacements.
8;Ficus Benjamina;indoor;brightInd;medium;medium;frostTender;low;perennial;7;14;21;24;;;;3,4;;11,12,1,2;Terreau plantes vertes.;Perd ses feuilles s'il est déplacé ou s'il a froid.
9;Ficus Ginseng;indoor;brightInd;easy;medium;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Substrat bonsaï ou terreau léger.;Tailler pour garder la forme.
10;Spathiphyllum;indoor;low;easy;high;frostTender;low;perennial;4;7;30;12;;;;3,4;;11,12,1,2;Terreau ordinaire.;Couper les fleurs fanées et les feuilles brunes.
11;Chlorophytum;indoor;brightInd;easy;medium;frostTender;none;perennial;7;10;30;12;;;;3,4,5;;11,12,1,2;Terreau ordinaire.;Couper les pointes sèches si besoin.
12;Anthurium;indoor;brightInd;medium;high;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terre de bruyère et terreau.;Vaporiser le feuillage régulièrement.
13;Dracaena Marginata;indoor;partial;easy;medium;frostTender;low;perennial;10;20;30;36;;;;3,4;;11,12,1,2;Terreau plante verte.;Retirer les feuilles basses qui sèchent naturellement.
14;Dracaena Fragrans;indoor;partial;easy;medium;frostTender;low;perennial;10;20;30;36;;;;3,4;;11,12,1,2;Terreau plante verte.;Attention aux cochenilles farineuses.
15;Yucca;indoor;direct;easy;low;frostTender;low;perennial;10;30;60;36;;;;3,4;;11,12,1,2;Terreau drainant.;Très résistant à la sécheresse.
16;Calathea;indoor;partial;hard;high;frostTender;none;perennial;4;7;30;12;;;;3,4;;11,12,1,2;Terreau léger et acide.;Craint le calcaire et l'air sec.
17;Maranta;indoor;partial;medium;high;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau maintenu frais.;Ses feuilles se redressent le soir.
18;Alocasia Polly;indoor;brightInd;hard;high;frostTender;high;perennial;5;14;21;24;;;;3,4;;11,12,1,2;Terreau léger, jamais détrempé.;Peut perdre ses feuilles en hiver (repos).
19;Alocasia Zebrina;indoor;brightInd;hard;high;frostTender;high;perennial;5;14;21;24;;;;3,4;;11,12,1,2;Terreau très drainant.;Attention aux tiges qui pourrissent vite.
20;Aloe Vera;indoor;brightInd;easy;low;frostTender;low;perennial;15;40;90;36;;;;3,4,5;;11,12,1,2;Terreau cactus.;Laisser sécher complètement entre deux arrosages.
21;Crassula Ovata;indoor;brightInd;easy;low;frostTender;low;perennial;15;30;60;36;;;;3,4,5;;11,12,1,2;Mélange drainant.;Très facile à bouturer par feuille.
22;Haworthia;indoor;partial;easy;low;frostTender;none;perennial;15;30;90;24;;;;4,5;;11,12,1,2;Terreau pour cactus.;Idéal pour les petits espaces.
23;Schlumbergera;indoor;brightInd;medium;medium;frostTender;none;perennial;10;20;30;36;;;;3,4;;10,11;Terreau léger.;Fleurit en hiver si on réduit l'arrosage en automne.
24;Phalaenopsis;indoor;brightInd;medium;high;frostTender;none;perennial;7;10;21;24;;;;4,5,6;;11,12,1,2;Écorces de pin (substrat orchidée).;Baigner les racines 15min puis égoutter.
25;Areca;indoor;brightInd;medium;medium;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau plantes vertes.;Bonne plante dépolluante.
26;Kentia;indoor;partial;easy;medium;frostTender;none;perennial;7;15;60;36;;;;3,4;;11,12,1,2;Terreau profond.;Supporte mieux l'ombre que les autres palmiers.
27;Chamaedorea;indoor;low;easy;medium;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Idéal pour les coins sombres.
28;Beaucarnea;indoor;brightInd;easy;low;frostTender;none;perennial;15;30;60;48;;;;3,4;;11,12,1,2;Terreau drainant.;Stocke l'eau dans son tronc renflé.
29;Syngonium;indoor;partial;easy;medium;frostTender;low;perennial;5;10;30;12;;;;3,4;;11,12,1,2;Terreau plante verte.;Pincer pour densifier.
30;Dieffenbachia;indoor;partial;medium;medium;frostTender;high;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau riche.;Sève très irritante, porter des gants.
31;Aglaonema;indoor;low;easy;medium;frostTender;low;perennial;7;14;45;24;;;;3,4;;11,12,1,2;Terreau drainant.;Très robuste et décorative.
32;Tradescantia Zebrina;indoor;brightInd;easy;medium;frostTender;low;perennial;5;10;30;12;;;;3,4;;11,12,1,2;Terreau universel.;Bouturage inratable dans l'eau.
33;Peperomia Obtusifolia;indoor;partial;easy;medium;frostTender;none;perennial;10;20;60;24;;;;3,4;;11,12,1,2;Terreau léger.;Craint l'excès d'eau (feuilles charnues).
34;Ceropegia;indoor;brightInd;medium;low;frostTender;none;perennial;10;25;60;24;;;;4,5;;11,12,1,2;Terreau pour cactus.;Plante retombante très graphique.
35;Senecio Rowleyanus;indoor;brightInd;hard;low;frostTender;low;perennial;10;30;60;24;;;;4,5;;11,12,1,2;Substrat très drainant.;Arroser par le bas pour éviter de pourrir les perles.
36;Fougère de Boston;indoor;partial;medium;high;frostTender;none;perennial;3;7;30;12;;;;3,4;;11,12,1,2;Terreau riche en humus.;Brumiser souvent, déteste l'air sec.
37;Asplenium;indoor;low;easy;medium;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Ne pas arroser le cœur de la rosette.
