id;species;category;esthetic;foliage;type;height
1;Sansevieria;indoor;foliage;;;shrub
2;Monstera Deliciosa;indoor;foliage;;;shrub
3;Pilea Peperomioides;indoor;foliage;;;shrub
4;Pothos;indoor;foliage;;;hanging
5;Zamioculcas;indoor;foliage;;;shrub
6;Ficus Elastica;indoor;foliage;;;shrub
7;Ficus Lyrata;indoor;foliage;;;shrub
8;Ficus Benjamina;indoor;foliage;;;shrub
9;Ficus Ginseng;indoor;foliage;;;shrub
10;Spathiphyllum;indoor;flowering;;;shrub
11;Chlorophytum;indoor;foliage;;;hanging
12;Anthurium;indoor;flowering;;;shrub
13;Dracaena Marginata;indoor;foliage;;;shrub
14;Dracaena Fragrans;indoor;foliage;;;shrub
15;Yucca;indoor;foliage;;;shrub
16;Calathea;indoor;foliage;;;shrub
17;Maranta;indoor;foliage;;;hanging
18;Alocasia Polly;indoor;foliage;;;shrub
19;Alocasia Zebrina;indoor;foliage;;;shrub
20;Aloe Vera;indoor;foliage;;;shrub
21;Crassula Ovata;indoor;foliage;;;shrub
22;Haworthia;indoor;foliage;;;shrub
23;Schlumbergera;indoor;flowering;;;hanging
24;Phalaenopsis;indoor;flowering;;;shrub
25;Areca;indoor;foliage;;;shrub
26;Kentia;indoor;foliage;;;shrub
27;Chamaedorea;indoor;foliage;;;shrub
28;Beaucarnea;indoor;foliage;;;shrub
29;Syngonium;indoor;foliage;;;hanging
30;Dieffenbachia;indoor;foliage;;;shrub
31;Aglaonema;indoor;foliage;;;shrub
32;Tradescantia Zebrina;indoor;foliage;;;hanging
33;Peperomia Obtusifolia;indoor;foliage;;;shrub
34;Ceropegia;indoor;foliage;;;hanging
35;Senecio Rowleyanus;indoor;foliage;;;hanging
36;Fougère de Boston;indoor;foliage;;;hanging
37;Asplenium;indoor;foliage;;;shrub
38;Schefflera;indoor;foliage;;;shrub
39;Hedera;indoor;foliage;;;hanging
40;Begonia Maculata;indoor;foliage;;;shrub
41;Croton;indoor;foliage;;;shrub
42;Fittonia;indoor;foliage;;;shrub
43;Pachira;indoor;foliage;;;shrub
44;Strelitzia;indoor;flowering;;;shrub
45;Bananier;indoor;foliage;;;shrub
46;Cycas Revoluta;indoor;foliage;;;shrub
47;Poinsettia;indoor;flowering;;;shrub
48;Kalanchoe;indoor;flowering;;;shrub
49;Cyclamen;indoor;flowering;;;shrub
50;Tillandsia;indoor;foliage;;;shrub
51;Philodendron Scandens;indoor;foliage;;;hanging
52;Philodendron Birkin;indoor;foliage;;;shrub
53;Rhaphidophora Tetrasperma;indoor;foliage;;;hanging
54;Hoya Kerrii;indoor;foliage;;;hanging
55;Hoya Carnosa;indoor;foliage;;;hanging
56;Echeveria;indoor;foliage;;;shrub
57;Euphorbia Ingens;indoor;foliage;;;shrub
58;Opuntia;indoor;foliage;;;shrub
59;Rhipsalis;indoor;foliage;;;hanging
60;Lithops;indoor;foliage;;;shrub
61;Dionaea Muscipula;indoor;foliage;;;shrub
62;Nepenthes;indoor;foliage;;;hanging
63;Saintpaulia;indoor;flowering;;;shrub
64;Guzmania;indoor;flowering;;;shrub
65;Vriesea;indoor;flowering;;;shrub
66;Aechmea Fasciata;indoor;flowering;;;shrub
67;Clivia Miniata;indoor;flowering;;;shrub
68;Medinilla Magnifica;indoor;flowering;;;shrub
69;Gardenia;indoor;flowering;;;shrub
70;Stephanotis;indoor;flowering;;;hanging
71;Dendrobium;indoor;flowering;;;shrub
72;Cymbidium;indoor;flowering;;;shrub
73;Citronnier;indoor;foliage;;;shrub
74;Coffea Arabica;indoor;foliage;;;shrub
75;Adiantum;indoor;foliage;;;shrub
76;Platycerium;indoor;foliage;;;hanging
77;Asparagus;indoor;foliage;;;hanging
78;Aeschynanthus;indoor;flowering;;;hanging
79;Oxalis Triangularis;indoor;foliage;;;shrub
80;Mimosa Pudica;indoor;foliage;;;shrub
81;Caladium;indoor;foliage;;;shrub
82;Stromanthe Triostar;indoor;foliage;;;shrub
83;Hypoestes;indoor;foliage;;;shrub
84;Araucaria;indoor;foliage;;;shrub
85;Fatsia Japonica;indoor;foliage;;;shrub
86;Peperomia Argyreia;indoor;foliage;;;shrub
87;Soleirolia;indoor;foliage;;;hanging
88;Muehlenbeckia;indoor;foliage;;;hanging
89;Papyrus;indoor;foliage;;;shrub
90;Cissus;indoor;foliage;;;hanging
91;Polyscias;indoor;foliage;;;shrub
92;Radermachera;indoor;foliage;;;shrub
93;Gynura;indoor;foliage;;;hanging
94;Solanum Pseudocapsicum;indoor;flowering;;;shrub
95;Nertera;indoor;foliage;;;shrub
96;Basilic;herb;;;herb;
97;Cordyline;indoor;foliage;;;shrub
98;Bonsaï Ulmus;indoor;foliage;;;shrub
99;Aspidistra;indoor;foliage;;;shrub
100;Lucky Bamboo;indoor;foliage;;;shrub
101;Scindapsus Pictus;indoor;foliage;;;hanging
102;Philodendron Pink Princess;indoor;foliage;;;shrub
103;Calathea Orbifolia;indoor;foliage;;;shrub
104;Begonia Rex;indoor;foliage;;;shrub
105;Hibiscus;indoor;flowering;;;shrub
106;Jasmin;indoor;flowering;;;hanging
107;Azalée;indoor;flowering;;;shrub
108;Ciboulette;herb;;;herb;
109;Persil;herb;;;herb;
110;Romarin;herb;;;herb;
111;Thym;herb;;;herb;
112;Piment;vegetable;;;fruit;
113;Sedum Morganianum;indoor;foliage;;;hanging
114;Senecio Peregrinus;indoor;foliage;;;hanging
115;Echinocactus;indoor;foliage;;;shrub
116;Gymnocalycium;indoor;foliage;;;shrub
117;Ficus Pumila;indoor;foliage;;;hanging
118;Coleus;indoor;foliage;;;shrub
119;Pelargonium;outdoor;flowering;deciduous;;shrub
120;Campanule;indoor;flowering;;;hanging
121;Primevère;indoor;flowering;;;shrub
122;Gloxinia;indoor;flowering;;;shrub
123;Nematanthus;indoor;flowering;;;hanging
124;Saxifraga Stolonifera;indoor;foliage;;;hanging
125;Pilea Cadierei;indoor;foliage;;;shrub
126;Plectranthus;indoor;foliage;;;hanging
127;Callisia Repens;indoor;foliage;;;hanging
128;Tradescantia Nanouk;indoor;foliage;;;hanging
129;Drosera;indoor;foliage;;;shrub
130;Sarracenia;indoor;foliage;;;shrub
131;Phlebodium Aureum;indoor;foliage;;;shrub
132;Davallia;indoor;foliage;;;shrub
133;Caryota;indoor;foliage;;;shrub
134;Livistona Rotundifolia;indoor;foliage;;;shrub
135;Washingtonia;indoor;foliage;;;shrub
136;Ceropegia Sandersonii;indoor;foliage;;;hanging
137;Curcuma;indoor;foliage;;;shrub
138;Gingembre;indoor;foliage;;;shrub
139;Passiflore;indoor;flowering;;;hanging
140;Dipladenia;outdoor;flowering;evergreen;;climber
141;Laurier Sauce;herb;;;herb;
142;Aralia Fabian;indoor;foliage;;;shrub
143;Clématite;outdoor;flowering;deciduous;;climber
144;Asplenium Parvati;indoor;foliage;;;shrub
145;Amaryllis;indoor;flowering;;;shrub
146;Mammillaria;indoor;foliage;;;shrub
147;Epiphyllum Anguliger;indoor;foliage;;;hanging
148;Pinguicula;indoor;foliage;;;shrub
149;Clusia Rosea;indoor;foliage;;;shrub
150;Euphorbia Trigona;indoor;foliage;;;shrub
151;Albuca Spiralis;indoor;foliage;;;shrub
152;Zantedeschia;indoor;flowering;;;shrub
153;Aphelandra;indoor;foliage;;;shrub
154;Cereus;indoor;foliage;;;shrub
155;Ludisia Discolor;indoor;foliage;;;shrub
156;Astrophytum;indoor;foliage;;;shrub
157;Peperomia Caperata;indoor;foliage;;;shrub
158;Jacinthe;indoor;flowering;;;shrub
159;Agave;indoor;foliage;;;shrub
160;Gasteria;indoor;foliage;;;shrub
161;Blechnum;indoor;foliage;;;shrub
162;Pilea Glauca;indoor;foliage;;;hanging
163;Eucalyptus;indoor;foliage;;;shrub
164;Chrysanthème;outdoor;flowering;deciduous;;shrub
165;Coriandre;herb;;;herb;
166;Ananas;indoor;foliage;;;shrub
167;Ixora;indoor;flowering;;;shrub
168;Euphorbia Milii;indoor;flowering;;;shrub
169;Opuntia Microdasys;indoor;foliage;;;shrub
170;Ledebouria;indoor;foliage;;;shrub
171;Dischidia;indoor;foliage;;;hanging
172;Hatiora;indoor;flowering;;;hanging
173;Selaginella;indoor;foliage;;;shrub
174;Cyrtomium;indoor;foliage;;;shrub
175;Pellaea;indoor;foliage;;;shrub
176;Tolmiea;indoor;foliage;;;shrub
177;Sempervivum;outdoor;foliage;evergreen;;ground
178;Portulacaria Afra;indoor;foliage;;;shrub
179;Senecio Cephalophorus;indoor;foliage;;;shrub
180;Plumeria;indoor;flowering;;;shrub
181;Gerbera;indoor;flowering;;;shrub
182;Lys;indoor;flowering;;;shrub
183;Lantana;outdoor;flowering;deciduous;;shrub
184;Philodendron Xanadu;indoor;foliage;;;shrub
185;Epipremnum Neon;indoor;foliage;;;hanging
186;Tephrocactus;indoor;foliage;;;shrub
187;Ctenanthe;indoor;foliage;;;shrub
188;Stevia;herb;;;herb;
189;Callistemon;outdoor;flowering;evergreen;;shrub
190;Ferocactus;indoor;foliage;;;shrub
191;Solanum;indoor;foliage;;;shrub
192;Rebutia;indoor;flowering;;;shrub
193;Jasmine Sambac;indoor;flowering;;;shrub
194;Kalanchoe Tomentosa;indoor;foliage;;;shrub
195;Cactus;indoor;foliage;;;shrub
196;Succulente;indoor;foliage;;;shrub
197;Pommier;vegetable;;;fruitTree;
198;Poirier;vegetable;;;fruitTree;
199;Cerisier;vegetable;;;fruitTree;
200;Prunier;vegetable;;;fruitTree;
201;Pêcher;vegetable;;;fruitTree;
202;Abricotier;vegetable;;;fruitTree;
203;Noyer;vegetable;;;fruitTree;
204;Noisetier;vegetable;;;fruitTree;
205;Erable du Japon;outdoor;foliage;deciduous;;shrub
206;Bouleau;outdoor;foliage;deciduous;;tree
207;Chêne;outdoor;foliage;deciduous;;tree
208;Saule Pleureur;outdoor;foliage;deciduous;;tree
209;Tilleul;outdoor;foliage;deciduous;;tree
210;Albizia;outdoor;flowering;deciduous;;tree
211;Magnolia;outdoor;flowering;deciduous;;tree
212;Lilas;outdoor;flowering;deciduous;;shrub
